algorithm,time
bubbleSort,6978
insertionSort,1995
selectionSort,3990
mergeSort,0
gnomeSort,7977
quickSort,0
heapSort,0

bubbleSort,7977
insertionSort,1995
selectionSort,3989
mergeSort,998
gnomeSort,6996
quickSort,982
heapSort,0

bubbleSort,6981
insertionSort,1996
selectionSort,3989
mergeSort,997
gnomeSort,5984
quickSort,997
heapSort,0

bubbleSort,6981
insertionSort,2992
selectionSort,3990
mergeSort,997
gnomeSort,5984
quickSort,0
heapSort,998

bubbleSort,7979
insertionSort,1994
selectionSort,3990
mergeSort,0
gnomeSort,6980
quickSort,0
heapSort,0

bubbleSort,12965
insertionSort,3990
selectionSort,6981
mergeSort,0
gnomeSort,9974
quickSort,0
heapSort,999

bubbleSort,7979
insertionSort,1995
selectionSort,3989
mergeSort,0
gnomeSort,5983
quickSort,998
heapSort,0

bubbleSort,6980
insertionSort,1995
selectionSort,3989
mergeSort,0
gnomeSort,5983
quickSort,0
heapSort,0

bubbleSort,7978
insertionSort,1994
selectionSort,4986
mergeSort,0
gnomeSort,7022
quickSort,0
heapSort,975

bubbleSort,6980
insertionSort,1995
selectionSort,3990
mergeSort,997
gnomeSort,5984
quickSort,0
heapSort,998

bubbleSort,6983
insertionSort,1996
selectionSort,3988
mergeSort,997
gnomeSort,5984
quickSort,998
heapSort,0

bubbleSort,6981
insertionSort,1994
selectionSort,3991
mergeSort,996
gnomeSort,5984
quickSort,0
heapSort,0

bubbleSort,7978
insertionSort,1995
selectionSort,3990
mergeSort,997
gnomeSort,6981
quickSort,0
heapSort,999

bubbleSort,6981
insertionSort,1995
selectionSort,3989
mergeSort,998
gnomeSort,5983
quickSort,0
heapSort,0

bubbleSort,7979
insertionSort,1995
selectionSort,3989
mergeSort,998
gnomeSort,6981
quickSort,0
heapSort,0

bubbleSort,7979
insertionSort,1994
selectionSort,4986
mergeSort,998
gnomeSort,5982
quickSort,0
heapSort,997

bubbleSort,7978
insertionSort,1995
selectionSort,3988
mergeSort,998
gnomeSort,6981
quickSort,0
heapSort,0

bubbleSort,7978
insertionSort,2006
selectionSort,4975
mergeSort,1001
gnomeSort,5980
quickSort,0
heapSort,0

bubbleSort,6981
insertionSort,2992
selectionSort,3989
mergeSort,0
gnomeSort,6013
quickSort,0
heapSort,0

bubbleSort,7979
insertionSort,1995
selectionSort,3989
mergeSort,0
gnomeSort,6982
quickSort,0
heapSort,0

bubbleSort,6968
insertionSort,1994
selectionSort,3990
mergeSort,0
gnomeSort,5985
quickSort,0
heapSort,0

bubbleSort,6969
insertionSort,1995
selectionSort,3989
mergeSort,997
gnomeSort,5984
quickSort,0
heapSort,0

bubbleSort,7979
insertionSort,1994
selectionSort,4987
mergeSort,0
gnomeSort,6981
quickSort,0
heapSort,998

bubbleSort,6980
insertionSort,1996
selectionSort,3989
mergeSort,0
gnomeSort,5984
quickSort,1015
heapSort,0

bubbleSort,6981
insertionSort,1995
selectionSort,3990
mergeSort,0
gnomeSort,7021
quickSort,0
heapSort,970

bubbleSort,6983
insertionSort,1994
selectionSort,3988
mergeSort,1014
gnomeSort,5968
quickSort,998
heapSort,0

bubbleSort,6971
insertionSort,1994
selectionSort,3989
mergeSort,999
gnomeSort,5983
quickSort,0
heapSort,0

bubbleSort,6981
insertionSort,1995
selectionSort,3989
mergeSort,0
gnomeSort,5984
quickSort,0
heapSort,998

bubbleSort,6980
insertionSort,1995
selectionSort,3990
mergeSort,999
gnomeSort,5982
quickSort,0
heapSort,997

bubbleSort,7979
insertionSort,1994
selectionSort,3990
mergeSort,0
gnomeSort,5984
quickSort,996
heapSort,0

bubbleSort,6982
insertionSort,1994
selectionSort,3990
mergeSort,0
gnomeSort,5984
quickSort,0
heapSort,0

bubbleSort,7980
insertionSort,1994
selectionSort,3989
mergeSort,0
gnomeSort,5984
quickSort,0
heapSort,0

bubbleSort,7979
insertionSort,1994
selectionSort,2992
mergeSort,0
gnomeSort,6981
quickSort,0
heapSort,0

bubbleSort,6983
insertionSort,1995
selectionSort,3989
mergeSort,997
gnomeSort,5984
quickSort,0
heapSort,997

bubbleSort,6982
insertionSort,1993
selectionSort,3989
mergeSort,999
gnomeSort,5983
quickSort,0
heapSort,0

bubbleSort,6980
insertionSort,1995
selectionSort,3990
mergeSort,999
gnomeSort,6979
quickSort,0
heapSort,0

bubbleSort,6981
insertionSort,2992
selectionSort,3989
mergeSort,0
gnomeSort,6981
quickSort,0
heapSort,0

bubbleSort,7977
insertionSort,2993
selectionSort,4987
mergeSort,997
gnomeSort,6981
quickSort,998
heapSort,0

bubbleSort,7980
insertionSort,1994
selectionSort,3989
mergeSort,998
gnomeSort,5984
quickSort,0
heapSort,0

bubbleSort,6982
insertionSort,2992
selectionSort,3989
mergeSort,998
gnomeSort,5983
quickSort,998
heapSort,0

bubbleSort,6981
insertionSort,1995
selectionSort,3990
mergeSort,997
gnomeSort,5984
quickSort,998
heapSort,0

bubbleSort,7978
insertionSort,1995
selectionSort,3989
mergeSort,0
gnomeSort,5984
quickSort,0
heapSort,997

bubbleSort,7979
insertionSort,1995
selectionSort,3989
mergeSort,998
gnomeSort,6980
quickSort,0
heapSort,0

bubbleSort,6981
insertionSort,1994
selectionSort,3988
mergeSort,998
gnomeSort,5983
quickSort,0
heapSort,0

bubbleSort,6980
insertionSort,1995
selectionSort,3989
mergeSort,0
gnomeSort,6980
quickSort,0
heapSort,0

bubbleSort,7979
insertionSort,1994
selectionSort,2991
mergeSort,0
gnomeSort,6982
quickSort,0
heapSort,0
