algorithm,time
bubbleSort,139627
insertionSort,31917
selectionSort,61836
mergeSort,2993
gnomeSort,99733
quickSort,997
heapSort,1994

bubbleSort,143614
insertionSort,30918
selectionSort,60854
mergeSort,1997
gnomeSort,96741
quickSort,1000
heapSort,997

bubbleSort,143616
insertionSort,32931
selectionSort,61829
mergeSort,997
gnomeSort,96743
quickSort,1995
heapSort,1995

bubbleSort,141622
insertionSort,31914
selectionSort,61837
mergeSort,1997
gnomeSort,96744
quickSort,998
heapSort,1995

bubbleSort,143657
insertionSort,32915
selectionSort,60840
mergeSort,1000
gnomeSort,97778
quickSort,1000
heapSort,1994

bubbleSort,239361
insertionSort,53857
selectionSort,103723
mergeSort,1994
gnomeSort,166557
quickSort,998
heapSort,2992

bubbleSort,142620
insertionSort,31915
selectionSort,61836
mergeSort,997
gnomeSort,96742
quickSort,1000
heapSort,998

bubbleSort,144613
insertionSort,30917
selectionSort,60865
mergeSort,1994
gnomeSort,97740
quickSort,999
heapSort,997

bubbleSort,140624
insertionSort,41888
selectionSort,67819
mergeSort,1995
gnomeSort,107712
quickSort,998
heapSort,982

bubbleSort,143616
insertionSort,32913
selectionSort,62835
mergeSort,1982
gnomeSort,105736
quickSort,999
heapSort,997

bubbleSort,143603
insertionSort,31916
selectionSort,62833
mergeSort,1996
gnomeSort,100731
quickSort,0
heapSort,998

bubbleSort,150598
insertionSort,37898
selectionSort,66821
mergeSort,1996
gnomeSort,109706
quickSort,0
heapSort,998

bubbleSort,140624
insertionSort,31915
selectionSort,61837
mergeSort,1996
gnomeSort,97739
quickSort,987
heapSort,1994

bubbleSort,149598
insertionSort,32910
selectionSort,62832
mergeSort,1995
gnomeSort,100730
quickSort,997
heapSort,1995

bubbleSort,144614
insertionSort,40890
selectionSort,65823
mergeSort,1994
gnomeSort,109706
quickSort,0
heapSort,998

bubbleSort,146608
insertionSort,32911
selectionSort,71807
mergeSort,997
gnomeSort,100732
quickSort,1000
heapSort,998

bubbleSort,139628
insertionSort,31931
selectionSort,60837
mergeSort,1996
gnomeSort,96742
quickSort,997
heapSort,1995

bubbleSort,143616
insertionSort,31915
selectionSort,60838
mergeSort,998
gnomeSort,96742
quickSort,1000
heapSort,1994

bubbleSort,154587
insertionSort,35904
selectionSort,64826
mergeSort,1995
gnomeSort,105718
quickSort,997
heapSort,998

bubbleSort,142619
insertionSort,31914
selectionSort,60838
mergeSort,999
gnomeSort,98757
quickSort,999
heapSort,998

bubbleSort,140623
insertionSort,31895
selectionSort,63830
mergeSort,1994
