algorithm,time
bubbleSort,31915
insertionSort,7978
selectionSort,15956
mergeSort,0
gnomeSort,23935
quickSort,0
heapSort,0

bubbleSort,32911
insertionSort,7978
selectionSort,14959
mergeSort,998
gnomeSort,23935
quickSort,0
heapSort,0

bubbleSort,31907
insertionSort,7977
selectionSort,15958
mergeSort,999
gnomeSort,23936
quickSort,997
heapSort,0

bubbleSort,32912
insertionSort,7977
selectionSort,15956
mergeSort,1000
gnomeSort,24933
quickSort,0
heapSort,997

bubbleSort,34905
insertionSort,8976
selectionSort,15958
mergeSort,1001
gnomeSort,23934
quickSort,0
heapSort,997

bubbleSort,52857
insertionSort,13965
selectionSort,26929
mergeSort,999
gnomeSort,39894
quickSort,997
heapSort,997

bubbleSort,30916
insertionSort,7979
selectionSort,14960
mergeSort,0
gnomeSort,23936
quickSort,998
heapSort,997

bubbleSort,31914
insertionSort,7963
selectionSort,15957
mergeSort,997
gnomeSort,25932
quickSort,997
heapSort,998

bubbleSort,31905
insertionSort,7978
selectionSort,14959
mergeSort,997
gnomeSort,23936
quickSort,0
heapSort,999

bubbleSort,31914
insertionSort,8974
selectionSort,15979
mergeSort,998
gnomeSort,24931
quickSort,0
heapSort,0

bubbleSort,30917
insertionSort,6982
selectionSort,15959
mergeSort,997
gnomeSort,22939
quickSort,997
heapSort,997

bubbleSort,32912
insertionSort,7996
selectionSort,17952
mergeSort,1995
gnomeSort,28924
quickSort,997
heapSort,997

bubbleSort,30918
insertionSort,7979
selectionSort,15958
mergeSort,997
gnomeSort,23946
quickSort,0
heapSort,1010

bubbleSort,32912
insertionSort,7979
selectionSort,15958
mergeSort,997
gnomeSort,24951
quickSort,0
heapSort,0

bubbleSort,31914
insertionSort,7978
selectionSort,15960
mergeSort,997
gnomeSort,24934
quickSort,0
heapSort,996

bubbleSort,31914
insertionSort,7978
selectionSort,16955
mergeSort,990
gnomeSort,25927
quickSort,0
heapSort,997

bubbleSort,30950
insertionSort,7981
selectionSort,14995
mergeSort,1000
gnomeSort,23935
quickSort,0
heapSort,0

bubbleSort,33909
insertionSort,9974
selectionSort,15958
mergeSort,998
gnomeSort,24934
quickSort,0
heapSort,996

bubbleSort,32913
insertionSort,7979
selectionSort,19947
mergeSort,999
gnomeSort,27924
quickSort,998
heapSort,998

bubbleSort,31904
insertionSort,8976
selectionSort,15975
mergeSort,997
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,30918
insertionSort,6981
selectionSort,15958
mergeSort,999
gnomeSort,23957
quickSort,0
heapSort,0

bubbleSort,32905
insertionSort,8976
selectionSort,15958
mergeSort,997
gnomeSort,22938
quickSort,1000
heapSort,0

bubbleSort,31915
insertionSort,7978
selectionSort,15957
mergeSort,998
gnomeSort,24934
quickSort,0
heapSort,0

bubbleSort,33909
insertionSort,7979
selectionSort,14960
mergeSort,998
gnomeSort,23935
quickSort,0
heapSort,0

bubbleSort,31901
insertionSort,8011
selectionSort,15926
mergeSort,997
gnomeSort,23977
quickSort,0
heapSort,1000

bubbleSort,31916
insertionSort,7978
selectionSort,15959
mergeSort,998
gnomeSort,23936
quickSort,0
heapSort,0

bubbleSort,31908
insertionSort,7979
selectionSort,15957
mergeSort,997
gnomeSort,24933
quickSort,0
heapSort,998

bubbleSort,30903
insertionSort,7978
selectionSort,15958
mergeSort,0
gnomeSort,24934
quickSort,1000
heapSort,995

bubbleSort,30918
insertionSort,8975
selectionSort,15983
mergeSort,971
gnomeSort,24935
quickSort,0
heapSort,997

bubbleSort,30919
