algorithm,time
insertionSort,7979
selectionSort,15957
mergeSort,997
gnomeSort,24935
quickSort,996
heapSort,0

bubbleSort,32920
insertionSort,8979
selectionSort,15957
mergeSort,998
gnomeSort,23936
quickSort,0
heapSort,0

bubbleSort,30918
insertionSort,7979
selectionSort,14960
mergeSort,997
gnomeSort,30919
quickSort,0
heapSort,998

bubbleSort,31915
insertionSort,7959
selectionSort,15957
mergeSort,1004
gnomeSort,24926
quickSort,998
heapSort,997

bubbleSort,30917
insertionSort,7980
selectionSort,15957
mergeSort,998
gnomeSort,23936
quickSort,0
heapSort,998

bubbleSort,31913
insertionSort,7977
selectionSort,15958
mergeSort,999
gnomeSort,24932
quickSort,998
heapSort,0

bubbleSort,32912
insertionSort,8976
selectionSort,15958
mergeSort,999
gnomeSort,25930
quickSort,0
heapSort,988

bubbleSort,32911
insertionSort,8977
selectionSort,15958
mergeSort,992
gnomeSort,24932
quickSort,0
heapSort,997

bubbleSort,33909
insertionSort,8974
selectionSort,15957
mergeSort,998
gnomeSort,27926
quickSort,0
heapSort,998

bubbleSort,37899
insertionSort,8976
selectionSort,16956
mergeSort,1994
gnomeSort,31915
quickSort,0
heapSort,996

bubbleSort,30908
insertionSort,7979
selectionSort,14961
mergeSort,998
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,31915
insertionSort,8976
selectionSort,14961
mergeSort,984
gnomeSort,24933
quickSort,0
heapSort,996

bubbleSort,32918
insertionSort,7978
selectionSort,15957
mergeSort,997
gnomeSort,24933
quickSort,0
heapSort,998

bubbleSort,31914
insertionSort,8975
selectionSort,17953
mergeSort,988
gnomeSort,26921
quickSort,998
heapSort,996

bubbleSort,32931
insertionSort,8975
selectionSort,15958
mergeSort,998
gnomeSort,25930
quickSort,0
heapSort,0

bubbleSort,32913
insertionSort,9974
selectionSort,15958
mergeSort,1005
gnomeSort,24932
quickSort,0
heapSort,0

bubbleSort,31915
insertionSort,7978
selectionSort,15958
mergeSort,997
gnomeSort,24934
quickSort,0
heapSort,998

bubbleSort,32912
insertionSort,7978
selectionSort,15956
mergeSort,997
gnomeSort,24934
quickSort,997
heapSort,998

bubbleSort,32911
insertionSort,7980
selectionSort,15957
mergeSort,996
gnomeSort,24934
quickSort,0
heapSort,0

bubbleSort,31913
insertionSort,7978
selectionSort,15958
mergeSort,997
gnomeSort,25939
quickSort,0
heapSort,997

bubbleSort,32916
insertionSort,8976
selectionSort,15957
mergeSort,0
gnomeSort,24932
quickSort,0
heapSort,0

bubbleSort,35904
insertionSort,8976
selectionSort,16954
mergeSort,0
gnomeSort,26928
quickSort,998
heapSort,0

bubbleSort,38896
insertionSort,9974
selectionSort,16954
mergeSort,1995
gnomeSort,27924
quickSort,0
heapSort,0

bubbleSort,33908
insertionSort,8987
selectionSort,16956
mergeSort,997
gnomeSort,25930
quickSort,0
heapSort,998

bubbleSort,32912
insertionSort,7978
selectionSort,15957
mergeSort,997
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,30920
insertionSort,7979
selectionSort,14961
mergeSort,997
gnomeSort,26929
quickSort,0
heapSort,0

bubbleSort,35436
insertionSort,8971
selectionSort,15956
mergeSort,997
gnomeSort,25932
quickSort,0
heapSort,998

bubbleSort,32421
insertionSort,7980
selectionSort,15958
mergeSort,999
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,34905
insertionSort,7979
selectionSort,16955
mergeSort,997
gnomeSort,30915
quickSort,996
heapSort,998

bubbleSort,33906
insertionSort,7978
selectionSort,15958
mergeSort,998
gnomeSort,25929
quickSort,0
heapSort,997

bubbleSort,42976
insertionSort,8976
selectionSort,16956
mergeSort,996
gnomeSort,25931
quickSort,0
heapSort,0

bubbleSort,32893
insertionSort,8977
selectionSort,15967
mergeSort,996
gnomeSort,24933
quickSort,0
heapSort,997

bubbleSort,32911
insertionSort,7979
selectionSort,15957
mergeSort,998
gnomeSort,25931
quickSort,0
heapSort,0

bubbleSort,32912
insertionSort,8976
selectionSort,16938
mergeSort,998
gnomeSort,26449
quickSort,0
heapSort,0

bubbleSort,32912
insertionSort,8976
selectionSort,15957
mergeSort,0
gnomeSort,23936
quickSort,0
heapSort,0

bubbleSort,32912
insertionSort,7979
selectionSort,15957
mergeSort,997
gnomeSort,24932
quickSort,0
heapSort,0

bubbleSort,33911
insertionSort,8975
selectionSort,15958
mergeSort,998
gnomeSort,24934
quickSort,996
heapSort,999

bubbleSort,32911
insertionSort,7979
selectionSort,15943
mergeSort,1001
gnomeSort,24933
quickSort,0
heapSort,998

bubbleSort,32911
insertionSort,8976
selectionSort,15958
mergeSort,0
gnomeSort,23937
quickSort,0
heapSort,997

bubbleSort,32912
insertionSort,7978
selectionSort,14974
mergeSort,997
gnomeSort,24934
quickSort,0
heapSort,0

bubbleSort,32913
insertionSort,8976
selectionSort,16955
mergeSort,997
gnomeSort,26929
quickSort,997
heapSort,998

bubbleSort,32913
insertionSort,8975
selectionSort,15956
mergeSort,0
gnomeSort,24939
quickSort,997
heapSort,997

bubbleSort,33908
insertionSort,8975
selectionSort,15958
mergeSort,997
gnomeSort,25931
quickSort,997
heapSort,998

bubbleSort,31927
insertionSort,7980
selectionSort,15956
mergeSort,997
gnomeSort,24947
quickSort,0
heapSort,0

bubbleSort,32911
insertionSort,7979
selectionSort,15958
mergeSort,998
gnomeSort,24934
quickSort,0
heapSort,0

bubbleSort,32915
insertionSort,7979
selectionSort,15958
mergeSort,997
gnomeSort,24933
quickSort,0
heapSort,997

bubbleSort,32912
insertionSort,7980
selectionSort,15919
mergeSort,998
gnomeSort,24933
quickSort,0
heapSort,996

bubbleSort,32921
insertionSort,7979
selectionSort,15957
mergeSort,998
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,32912
insertionSort,7980
selectionSort,15957
mergeSort,997
gnomeSort,25930
quickSort,997
heapSort,998

bubbleSort,32912
insertionSort,7980
selectionSort,15465
mergeSort,998
gnomeSort,24933
quickSort,970
heapSort,997

bubbleSort,38419
insertionSort,7979
selectionSort,15957
mergeSort,997
gnomeSort,26929
quickSort,0
heapSort,997

bubbleSort,33908
insertionSort,8976
selectionSort,15958
mergeSort,1994
gnomeSort,25932
quickSort,0
heapSort,0

bubbleSort,37897
insertionSort,7980
selectionSort,16954
mergeSort,998
gnomeSort,31913
quickSort,0
heapSort,998

bubbleSort,34098
insertionSort,8976
selectionSort,15957
mergeSort,998
gnomeSort,24934
quickSort,0
heapSort,996

bubbleSort,32912
insertionSort,8976
selectionSort,16956
mergeSort,996
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,35904
insertionSort,8975
selectionSort,17952
mergeSort,998
gnomeSort,25931
quickSort,0
heapSort,998

bubbleSort,39893
insertionSort,8975
selectionSort,16955
mergeSort,996
gnomeSort,34907
quickSort,0
heapSort,0

bubbleSort,33104
insertionSort,8975
selectionSort,15958
mergeSort,1024
gnomeSort,23930
quickSort,1000
heapSort,997

bubbleSort,32896
insertionSort,7979
selectionSort,15946
mergeSort,998
gnomeSort,24933
quickSort,995
heapSort,998

bubbleSort,31909
insertionSort,8961
selectionSort,15957
mergeSort,1003
gnomeSort,23930
quickSort,0
heapSort,0

bubbleSort,31924
insertionSort,7979
selectionSort,15957
mergeSort,998
gnomeSort,24934
quickSort,0
heapSort,0

bubbleSort,32912
insertionSort,7965
selectionSort,15953
mergeSort,986
gnomeSort,24933
quickSort,0
heapSort,997

bubbleSort,41886
insertionSort,8976
selectionSort,15958
mergeSort,999
gnomeSort,30917
quickSort,0
heapSort,0

bubbleSort,33908
insertionSort,7978
selectionSort,16959
mergeSort,997
gnomeSort,24942
quickSort,997
heapSort,0

bubbleSort,34906
insertionSort,8977
selectionSort,15957
mergeSort,997
gnomeSort,28922
quickSort,0
heapSort,998

bubbleSort,31915
insertionSort,7979
selectionSort,15957
mergeSort,996
gnomeSort,27925
quickSort,0
heapSort,998

bubbleSort,30913
insertionSort,7979
selectionSort,14961
mergeSort,998
gnomeSort,23935
quickSort,998
heapSort,997

bubbleSort,31914
insertionSort,7979
selectionSort,17952
mergeSort,997
gnomeSort,24933
quickSort,0
heapSort,0

bubbleSort,33909
insertionSort,7979
selectionSort,15957
mergeSort,998
gnomeSort,25930
quickSort,998
heapSort,997

bubbleSort,32913
insertionSort,7980
selectionSort,15958
mergeSort,996
gnomeSort,25963
quickSort,0
heapSort,0

bubbleSort,33909
insertionSort,7971
selectionSort,15957
mergeSort,985
gnomeSort,26928
quickSort,0
heapSort,997

bubbleSort,34907
insertionSort,8987
selectionSort,15950
mergeSort,998
gnomeSort,23934
quickSort,0
heapSort,997
