algorithm,time
insertionSort,133085
selectionSort,254320
mergeSort,2991
gnomeSort,410901
quickSort,997
heapSort,1994

bubbleSort,650788
insertionSort,146607
selectionSort,265292
mergeSort,2991
gnomeSort,418388
quickSort,1994
heapSort,2992

bubbleSort,645291
insertionSort,148594
selectionSort,259307
mergeSort,4986
gnomeSort,417858
quickSort,984
heapSort,3989

bubbleSort,649263
insertionSort,136636
selectionSort,256321
mergeSort,3989
gnomeSort,425391
quickSort,997
heapSort,2992

bubbleSort,648784
insertionSort,135188
selectionSort,254901
mergeSort,2991
gnomeSort,424864
quickSort,1992
heapSort,2992

bubbleSort,657398
insertionSort,132445
selectionSort,255609
mergeSort,2992
gnomeSort,403403
quickSort,1995
heapSort,2991

bubbleSort,628516
insertionSort,131157
selectionSort,255316
mergeSort,3988
gnomeSort,401925
quickSort,1994
heapSort,2992

bubbleSort,676573
insertionSort,131646
selectionSort,256316
mergeSort,2992
gnomeSort,442854
quickSort,1994
heapSort,2980

bubbleSort,649264
insertionSort,136635
selectionSort,261920
mergeSort,3989
gnomeSort,434675
quickSort,1993
heapSort,3991

bubbleSort,640313
insertionSort,134643
selectionSort,253719
mergeSort,3974
gnomeSort,397936
quickSort,1995
heapSort,2977

bubbleSort,628789
insertionSort,227901
selectionSort,287739
mergeSort,2992
gnomeSort,416892
quickSort,998
heapSort,2992

bubbleSort,723041
insertionSort,137632
selectionSort,258309
mergeSort,3989
gnomeSort,395955
quickSort,1996
heapSort,2991
