algorithm,time
bubbleSort,605381
insertionSort,128638
selectionSort,244347
mergeSort,3991
gnomeSort,404918
quickSort,1983
heapSort,2993

bubbleSort,600395
insertionSort,126664
selectionSort,243362
mergeSort,3971
gnomeSort,428893
quickSort,1995
heapSort,3016

bubbleSort,604384
insertionSort,126672
selectionSort,244346
mergeSort,3990
gnomeSort,415920
quickSort,1974
heapSort,2992

bubbleSort,607376
insertionSort,125666
selectionSort,239362
mergeSort,3966
gnomeSort,431847
quickSort,1995
heapSort,2986

bubbleSort,610371
insertionSort,131648
selectionSort,254319
mergeSort,3991
gnomeSort,445807
quickSort,1995
heapSort,2992

bubbleSort,1040218
insertionSort,215423
selectionSort,417884
mergeSort,4985
gnomeSort,666222
quickSort,3001
heapSort,4987

bubbleSort,605372
insertionSort,125665
selectionSort,249332
mergeSort,2991
gnomeSort,403936
quickSort,997
heapSort,2991

bubbleSort,609370
insertionSort,128657
selectionSort,240356
mergeSort,2992
gnomeSort,394948
quickSort,1995
heapSort,2991

bubbleSort,629316
insertionSort,125666
selectionSort,242353
mergeSort,2992
gnomeSort,386966
quickSort,1995
heapSort,2991

bubbleSort,630313
insertionSort,146607
selectionSort,256317
mergeSort,2991
gnomeSort,385969
quickSort,1994
heapSort,2992

bubbleSort,606377
insertionSort,125664
selectionSort,241354
mergeSort,4975
gnomeSort,386965
quickSort,1997
heapSort,2992

bubbleSort,606378
insertionSort,125666
selectionSort,242352
mergeSort,3989
gnomeSort,394007
quickSort,1994
heapSort,2993

bubbleSort,671203
insertionSort,134639
selectionSort,249335
mergeSort,2992
gnomeSort,402919
quickSort,3004
heapSort,3976

bubbleSort,625327
insertionSort,129653
selectionSort,252324
mergeSort,3990
gnomeSort,401925
quickSort,991
heapSort,2993

bubbleSort,669210
insertionSort,125663
selectionSort,259307
mergeSort,5984
gnomeSort,413892
quickSort,1993
heapSort,2992

bubbleSort,641284
insertionSort,135635
selectionSort,248336
mergeSort,3991
gnomeSort,405914
quickSort,980
heapSort,2992

bubbleSort,614355
insertionSort,128655
selectionSort,242354
mergeSort,3989
gnomeSort,400928
quickSort,1994
heapSort,3991

bubbleSort,612362
insertionSort,128655
selectionSort,246342
mergeSort,3989
gnomeSort,384971
quickSort,1980
heapSort,2992

bubbleSort,610368
insertionSort,128657
selectionSort,242355
mergeSort,2991
gnomeSort,389957
quickSort,982
heapSort,2992

bubbleSort,611365
insertionSort,130675
selectionSort,244376
mergeSort,2994
gnomeSort,384999
quickSort,1996
heapSort,2991

bubbleSort,601393
insertionSort,123669
selectionSort,260306
mergeSort,3990
gnomeSort,412896
quickSort,1997
heapSort,2986

bubbleSort,609404
insertionSort,123703
selectionSort,241369
mergeSort,3991
gnomeSort,389002
quickSort,997
heapSort,2992

bubbleSort,668212
insertionSort,140623
selectionSort,248336
mergeSort,2992
gnomeSort,390954
quickSort,984
heapSort,2992

bubbleSort,611365
insertionSort,125663
selectionSort,243356
mergeSort,2995
gnomeSort,390985
quickSort,1998
heapSort,2991

bubbleSort,632309
insertionSort,128656
selectionSort,242352
mergeSort,3989
gnomeSort,380982
quickSort,1998
heapSort,3990

bubbleSort,614356
insertionSort,141623
selectionSort,257312
mergeSort,3989
gnomeSort,403972
quickSort,1996
heapSort,2994

bubbleSort,625319
insertionSort,127663
selectionSort,249332
mergeSort,3990
gnomeSort,402922
quickSort,998
heapSort,2991

bubbleSort,610349
insertionSort,125678
selectionSort,242352
mergeSort,2993
gnomeSort,384972
quickSort,1996
heapSort,2992

bubbleSort,642274
insertionSort,125664
selectionSort,242352
mergeSort,3992
gnomeSort,386965
quickSort,1994
heapSort,2993

bubbleSort,611366
insertionSort,142618
selectionSort,243358
mergeSort,2992
gnomeSort,384971
quickSort,1996
heapSort,2992

bubbleSort,636298
insertionSort,132646
selectionSort,242354
mergeSort,2994
gnomeSort,383008
quickSort,1996
heapSort,2992

bubbleSort,604419
insertionSort,127661
selectionSort,245383
mergeSort,2991
gnomeSort,387963
quickSort,1995
heapSort,1995

bubbleSort,617371
insertionSort,124667
selectionSort,250331
mergeSort,2990
gnomeSort,387997
quickSort,1996
heapSort,2993

bubbleSort,616374
insertionSort,124668
selectionSort,243350
mergeSort,2992
gnomeSort,386966
quickSort,998
heapSort,2991

bubbleSort,612359
insertionSort,138630
selectionSort,258347
mergeSort,3992
gnomeSort,389001
quickSort,991
heapSort,2993

bubbleSort,616351
insertionSort,124656
selectionSort,241357
mergeSort,2995
gnomeSort,387961
quickSort,1996
heapSort,2993

bubbleSort,624492
insertionSort,127658
selectionSort,251343
mergeSort,2991
gnomeSort,434836
quickSort,1994
heapSort,2992

bubbleSort,630314
insertionSort,129653
selectionSort,253322
mergeSort,2992
gnomeSort,423865
quickSort,996
heapSort,2992

bubbleSort,611365
insertionSort,134642
selectionSort,251325
mergeSort,3989
gnomeSort,383974
quickSort,996
heapSort,2993

bubbleSort,607375
insertionSort,138628
selectionSort,252323
mergeSort,3993
gnomeSort,396930
quickSort,1994
heapSort,2990

bubbleSort,628317
insertionSort,129653
selectionSort,255318
mergeSort,2993
gnomeSort,400928
quickSort,1996
heapSort,1994

bubbleSort,621339
insertionSort,127661
selectionSort,244349
mergeSort,2993
gnomeSort,404916
quickSort,968
heapSort,2991

bubbleSort,617360
insertionSort,125666
selectionSort,240358
mergeSort,2993
gnomeSort,396938
quickSort,998
heapSort,2993

bubbleSort,660233
insertionSort,126662
selectionSort,252325
mergeSort,2992
gnomeSort,402921
quickSort,1997
heapSort,3989

bubbleSort,627322
insertionSort,143614
selectionSort,256316
mergeSort,2991
gnomeSort,406911
quickSort,1997
heapSort,2992

bubbleSort,652242
insertionSort,136635
selectionSort,253324
mergeSort,29921
gnomeSort,437830
quickSort,1995
heapSort,2999

bubbleSort,621875
insertionSort,130654
selectionSort,252327
mergeSort,3989
gnomeSort,432393
quickSort,1995
heapSort,2992

bubbleSort,653622
insertionSort,130652
selectionSort,254320
mergeSort,2991
gnomeSort,414891
quickSort,997
heapSort,2992

bubbleSort,691623
insertionSort,133642
selectionSort,255330
mergeSort,2991
gnomeSort,421328
quickSort,998
heapSort,2991

bubbleSort,625326
insertionSort,134639
selectionSort,254443
mergeSort,2992
gnomeSort,451358
quickSort,1995
heapSort,3510

bubbleSort,673203
insertionSort,134640
selectionSort,252138
mergeSort,3989
gnomeSort,422377
quickSort,998
heapSort,2993

bubbleSort,678393
insertionSort,134640
selectionSort,270278
mergeSort,3988
gnomeSort,451793
quickSort,1996
heapSort,3987

bubbleSort,647269
insertionSort,132645
selectionSort,247803
mergeSort,2991
gnomeSort,426861
quickSort,999
heapSort,2992

bubbleSort,665437
insertionSort,138628
selectionSort,252352
mergeSort,3989
gnomeSort,391952
quickSort,983
heapSort,2991

bubbleSort,638624
insertionSort,135637
selectionSort,257850
mergeSort,3990
gnomeSort,433840
quickSort,1995
heapSort,2992

bubbleSort,638292
insertionSort,155578
selectionSort,256818
mergeSort,2992
gnomeSort,433880
quickSort,996
heapSort,2993

bubbleSort,641772
insertionSort,132209
selectionSort,252333
mergeSort,3975
gnomeSort,426859
quickSort,1995
heapSort,2975

bubbleSort,676790
insertionSort,134639
selectionSort,253322
mergeSort,2992
gnomeSort,422868
quickSort,1995
heapSort,1995

bubbleSort,648806
insertionSort,130685
selectionSort,242797
mergeSort,3989
gnomeSort,397960
quickSort,1994
heapSort,2992

bubbleSort,623332
insertionSort,133150
selectionSort,254878
mergeSort,3990
gnomeSort,402395
quickSort,1995
heapSort,2992

bubbleSort,644733
insertionSort,133643
selectionSort,250330
mergeSort,3975
gnomeSort,421871
quickSort,1994
heapSort,1994

bubbleSort,642718
insertionSort,130651
selectionSort,253321
mergeSort,2982
gnomeSort,410414
quickSort,997
heapSort,1994

bubbleSort,632814
insertionSort,133634
selectionSort,252767
mergeSort,2978
gnomeSort,398367
quickSort,1995
heapSort,1995

bubbleSort,643681
insertionSort,133643
selectionSort,251330
mergeSort,2988
gnomeSort,435835
quickSort,997
heapSort,2992

bubbleSort,654577
insertionSort,133152
selectionSort,257846
mergeSort,2992
gnomeSort,410902
quickSort,1991
heapSort,2993

bubbleSort,647489
insertionSort,133636
selectionSort,258325
mergeSort,3989
gnomeSort,443496
quickSort,996
heapSort,2990

bubbleSort,648266
insertionSort,131158
selectionSort,253913
mergeSort,2992
gnomeSort,420405
quickSort,1995
heapSort,2992

bubbleSort,612825
insertionSort,127660
selectionSort,252458
mergeSort,3989
gnomeSort,416335
quickSort,1992
heapSort,1995

bubbleSort,638049
insertionSort,161080
selectionSort,260304
mergeSort,3989
gnomeSort,412896
quickSort,1996
heapSort,2992

bubbleSort,645249
insertionSort,130650
selectionSort,262299
mergeSort,3989
gnomeSort,434876
quickSort,1995
heapSort,1995

bubbleSort,649264
insertionSort,141622
selectionSort,263228
mergeSort,3991
gnomeSort,428268
quickSort,1991
heapSort,3989

bubbleSort,635393
insertionSort,130419
selectionSort,251002
mergeSort,3990
gnomeSort,406217
quickSort,998
heapSort,2995

bubbleSort,645517
insertionSort,126675
selectionSort,248972
mergeSort,4987
gnomeSort,401925
quickSort,997
heapSort,2990

bubbleSort,633074
insertionSort,129654
selectionSort,253323
mergeSort,3989
gnomeSort,413918
quickSort,1995
heapSort,2992

bubbleSort,651394
insertionSort,138629
selectionSort,259303
mergeSort,3988
gnomeSort,408912
quickSort,1994
heapSort,2992

bubbleSort,640289
insertionSort,130158
selectionSort,256317
mergeSort,2993
gnomeSort,411602
quickSort,1994
heapSort,2992

bubbleSort,644257
insertionSort,133670
selectionSort,251361
mergeSort,4003
gnomeSort,407897
quickSort,997
heapSort,2993

bubbleSort,651471
insertionSort,134661
selectionSort,257312
mergeSort,2992
gnomeSort,421872
quickSort,998
heapSort,3989

bubbleSort,716641
insertionSort,133643
selectionSort,255318
mergeSort,3989
gnomeSort,489184
quickSort,1980
heapSort,3991

bubbleSort,708106
insertionSort,141621
selectionSort,268825
mergeSort,2993
gnomeSort,452790
quickSort,1995
heapSort,2991

bubbleSort,661174
insertionSort,130650
selectionSort,261301
mergeSort,4968
gnomeSort,427856
quickSort,998
heapSort,2993

bubbleSort,675194
insertionSort,137631
selectionSort,259525
mergeSort,2992
gnomeSort,428960
quickSort,1995
heapSort,2992

bubbleSort,722576
insertionSort,139694
selectionSort,259141
mergeSort,4971
gnomeSort,413894
quickSort,997
heapSort,2974

bubbleSort,643349
insertionSort,134830
selectionSort,261302
mergeSort,3988
gnomeSort,421872
quickSort,1994
heapSort,2993

bubbleSort,656245
insertionSort,135642
selectionSort,253322
mergeSort,2992
gnomeSort,410404
quickSort,1994
heapSort,2992

bubbleSort,638277
insertionSort,136636
selectionSort,254374
mergeSort,2992
gnomeSort,406555
quickSort,998
heapSort,1994

bubbleSort,648266
insertionSort,135178
selectionSort,256331
mergeSort,3989
gnomeSort,414099
quickSort,1995
heapSort,2991

bubbleSort,635319
insertionSort,132637
selectionSort,256223
mergeSort,2992
gnomeSort,409922
quickSort,997
heapSort,2992

bubbleSort,648192
insertionSort,138653
selectionSort,256822
mergeSort,2991
gnomeSort,426857
quickSort,1997
heapSort,2989

bubbleSort,651309
